	tissue_id	age	gender
GSM60546	BTO:0001969		
GSM60547	BTO:0001969		
GSM727392	BTO:0004041		F
GSM727396	BTO:0004041		F
GSM727400	BTO:0004041		F
GSM727414	BTO:0004041		F
GSM727413	BTO:0004041		F
GSM727412	BTO:0004041		F
GSM727408	BTO:0004041		F
GSM727404	BTO:0004041		F
GSM395787	BTO:0004041		F
GSM395783	BTO:0004041		M
GSM395785	BTO:0004041		F
GSM395784	BTO:0004041		F
GSM395786	BTO:0004041		M
GSM243218	BTO:0004041	120	M
GSM722953	BTO:0004041	1020	F
GSM722952	BTO:0004041	1020	F
GSM722951	BTO:0004041	540	F
GSM722950	BTO:0004041	540	F
GSM722949	BTO:0004041	600	F
GSM722948	BTO:0004041	600	F
GSM243215	BTO:0004041	120	M
GSM388930	BTO:0004041	528	M
GSM243217	BTO:0004041	96	F
GSM243219	BTO:0004041	84	M
GSM243220	BTO:0004041	84	M
GSM722954	BTO:0004041	600	F
GSM388904	BTO:0004041	816	M
GSM722957	BTO:0004041	540	F
GSM243216	BTO:0004041	84	M
GSM175836	BTO:0004041		F
GSM80564	BTO:0004041		
GSM80563	BTO:0004041		
GSM80562	BTO:0004041		
GSM80561	BTO:0004041		
GSM114849	BTO:0004041		
GSM722955	BTO:0004041	600	F
GSM175835	BTO:0004041		M
GSM388905	BTO:0004041	768	M
GSM175837	BTO:0004041		M
GSM722956	BTO:0004041	540	F
GSM722958	BTO:0004041	1020	F
GSM722959	BTO:0004041	1020	F
GSM175834	BTO:0004041		M
GSM737021	BTO:0004041		F
GSM737022	BTO:0004041		M
GSM114840	BTO:0004041		
GSM523860	BTO:0004041		F
GSM114852	BTO:0004041		
GSM114851	BTO:0004041		
GSM388916	BTO:0004041	480	F
GSM114848	BTO:0004041		
GSM114842	BTO:0004041		
GSM114845	BTO:0004041		
GSM114846	BTO:0004041		
GSM114847	BTO:0004041		
GSM114844	BTO:0004041		
GSM114843	BTO:0004041		
GSM114850	BTO:0004041		
GSM523863	BTO:0004041		M
GSM523875	BTO:0004041		F
GSM523874	BTO:0004041		F
GSM523873	BTO:0004041		M
GSM523872	BTO:0004041		F
GSM523871	BTO:0004041		F
GSM523870	BTO:0004041		F
GSM523869	BTO:0004041		M
GSM523868	BTO:0004041		F
GSM523867	BTO:0004041		F
GSM523866	BTO:0004041		F
GSM523858	BTO:0004041		M
GSM523864	BTO:0004041		M
GSM395788	BTO:0004041		F
GSM523862	BTO:0004041		M
GSM523861	BTO:0004041		F
GSM114841	BTO:0004041		
GSM523859	BTO:0004041		F
GSM114853	BTO:0004041		
GSM523857	BTO:0004041		F
GSM523856	BTO:0004041		F
GSM395792	BTO:0004041		F
GSM395791	BTO:0004041		F
GSM395790	BTO:0004041		F
GSM395789	BTO:0004041		F
GSM523865	BTO:0004041		F
GSM243227	BTO:0004041	144	M
GSM114854	BTO:0004041		
GSM114834	BTO:0004041		
GSM243228	BTO:0004041	108	M
GSM243226	BTO:0004041	108	M
GSM243225	BTO:0004041	132	M
GSM388906	BTO:0004041	552	F
GSM388907	BTO:0004041	444	M
GSM388908	BTO:0004041	648	F
GSM388910	BTO:0004041	636	F
GSM388911	BTO:0004041	540	F
GSM388912	BTO:0004041	576	F
GSM114855	BTO:0004041		
GSM388913	BTO:0004041	624	F
GSM388915	BTO:0004041	384	M
GSM388914	BTO:0004041	348	F
GSM388909	BTO:0004041	372	F
GSM243275	BTO:0004041	120	M
GSM548775	BTO:0004041		
GSM737030	BTO:0004041		F
GSM548756	BTO:0004041		
GSM548791	BTO:0004041		
GSM548790	BTO:0004041		
GSM548788	BTO:0004041		
GSM548787	BTO:0004041		
GSM548786	BTO:0004041		
GSM548777	BTO:0004041		
GSM548784	BTO:0004041		
GSM548759	BTO:0004041		
GSM548782	BTO:0004041		
GSM548781	BTO:0004041		
GSM548780	BTO:0004041		
GSM548779	BTO:0004041		
GSM548778	BTO:0004041		
GSM548789	BTO:0004041		
GSM548765	BTO:0004041		
GSM548773	BTO:0004041		
GSM548761	BTO:0004041		
GSM548766	BTO:0004041		
GSM548771	BTO:0004041		
GSM548770	BTO:0004041		
GSM548769	BTO:0004041		
GSM548768	BTO:0004041		
GSM548783	BTO:0004041		
GSM548772	BTO:0004041		
GSM548763	BTO:0004041		
GSM548764	BTO:0004041		
GSM548760	BTO:0004041		
GSM548762	BTO:0004041		
GSM548774	BTO:0004041		
GSM548757	BTO:0004041		
GSM548758	BTO:0004041		
GSM548727	BTO:0004041		
GSM548767	BTO:0004041		
GSM548755	BTO:0004041		
GSM548776	BTO:0004041		
GSM548753	BTO:0004041		
GSM548752	BTO:0004041		
GSM548751	BTO:0004041		
GSM548750	BTO:0004041		
GSM548749	BTO:0004041		
GSM548748	BTO:0004041		
GSM548745	BTO:0004041		
GSM548746	BTO:0004041		
GSM548729	BTO:0004041		
GSM548744	BTO:0004041		
GSM548743	BTO:0004041		
GSM548742	BTO:0004041		
GSM548741	BTO:0004041		
GSM548740	BTO:0004041		
GSM548739	BTO:0004041		
GSM548747	BTO:0004041		
GSM548736	BTO:0004041		
GSM548737	BTO:0004041		
GSM548785	BTO:0004041		
GSM548735	BTO:0004041		
GSM548734	BTO:0004041		
GSM548733	BTO:0004041		
GSM548732	BTO:0004041		
GSM548754	BTO:0004041		
GSM548730	BTO:0004041		
GSM548728	BTO:0004041		
GSM548738	BTO:0004041		
GSM548726	BTO:0004041		
GSM548725	BTO:0004041		
GSM548724	BTO:0004041		
GSM548723	BTO:0004041		
GSM737031	BTO:0004041		F
GSM737032	BTO:0004041		M
GSM548731	BTO:0004041		
GSM722967	BTO:0004041	444	F
GSM722961	BTO:0004041	444	F
GSM722962	BTO:0004041	756	F
GSM722963	BTO:0004041	756	F
GSM722971	BTO:0004041	756	F
GSM722964	BTO:0004041	756	F
GSM722960	BTO:0004041	444	F
GSM722966	BTO:0004041	444	F
GSM722968	BTO:0004041	756	F
GSM722969	BTO:0004041	756	F
GSM722970	BTO:0004041	756	F
GSM722965	BTO:0004041	756	F
GSM472166	BTO:0002144	168	M
GSM472168	BTO:0002144	228	M
GSM472167	BTO:0002144	168	M
GSM238513	BTO:0002144		
GSM472165	BTO:0002144	636	M
GSM472169	BTO:0002144	48	F
GSM741313	BTO:0000731		
GSM741320	BTO:0000731		
GSM741319	BTO:0000731		
GSM741318	BTO:0000731		
GSM741317	BTO:0000731		
GSM741316	BTO:0000731		
GSM741321	BTO:0000731		
GSM741314	BTO:0000731		
GSM741308	BTO:0000731		
GSM741312	BTO:0000731		
GSM741311	BTO:0000731		
GSM741310	BTO:0000731		
GSM741309	BTO:0000731		
GSM741307	BTO:0000731		
GSM741305	BTO:0000731		
GSM741315	BTO:0000731		
GSM741323	BTO:0000731		
GSM741324	BTO:0000731		
GSM741325	BTO:0000731		
GSM741326	BTO:0000731		
GSM741327	BTO:0000731		
GSM741328	BTO:0000731		
GSM741322	BTO:0000731		
